Date,Price
6/5/2014,113
6/6/2014,117
6/7/2014,118
6/8/2014,112
6/9/2014,116
6/10/2014,119
6/11/2014,116
6/12/2014,116
6/13/2014,116
6/14/2014,114
6/15/2014,111
6/16/2014,114
6/17/2014,120
6/18/2014,119
6/19/2014,115
6/20/2014,113
6/21/2014,112
6/22/2014,111
6/23/2014,121
6/24/2014,113
6/25/2014,116
6/26/2014,120
6/27/2014,118
6/28/2014,117
6/29/2014,114
6/30/2014,109
7/1/2014,118
7/2/2014,107
7/3/2014,112
7/4/2014,113
7/5/2014,117
7/6/2014,116
7/7/2014,114
7/8/2014,113
7/9/2014,118
7/10/2014,115
7/11/2014,114
7/12/2014,113
7/13/2014,109
7/14/2014,115
7/15/2014,118
7/16/2014,116
7/17/2014,115
7/18/2014,112
7/19/2014,112
7/20/2014,112
7/21/2014,109
7/22/2014,112
7/23/2014,120
7/24/2014,117
7/25/2014,108
7/26/2014,112
7/27/2014,113
7/28/2014,119
7/29/2014,127
7/30/2014,115
7/31/2014,125
8/1/2014,112
8/2/2014,108
8/3/2014,116
8/4/2014,116
8/5/2014,110
8/6/2014,117
8/7/2014,108
8/8/2014,110
8/9/2014,109
8/10/2014,112
8/11/2014,109
8/12/2014,110
8/13/2014,107
8/14/2014,104
8/15/2014,115
8/16/2014,115
8/17/2014,118
8/18/2014,116
8/19/2014,115
8/20/2014,113
8/21/2014,110
8/22/2014,109
8/23/2014,105
8/24/2014,99
8/25/2014,107
8/26/2014,101
8/27/2014,97
8/28/2014,105
8/29/2014,106
8/30/2014,108
8/31/2014,106
9/1/2014,109
9/2/2014,103
9/3/2014,103
9/4/2014,106
9/5/2014,100
9/6/2014,102
9/7/2014,104
9/8/2014,103
9/9/2014,114
9/10/2014,102
9/11/2014,109
9/12/2014,104
9/13/2014,103
9/14/2014,98
9/15/2014,103
9/16/2014,106
9/17/2014,105
9/18/2014,100
9/19/2014,104
9/20/2014,104
9/21/2014,99
9/22/2014,106
9/23/2014,113
9/24/2014,102
9/25/2014,98
9/26/2014,99
9/27/2014,102
9/28/2014,105
9/29/2014,122
9/30/2014,108
10/1/2014,103
10/2/2014,105
10/3/2014,110
10/4/2014,107
10/5/2014,111
10/6/2014,100
10/7/2014,113
10/8/2014,112
10/9/2014,114
10/10/2014,114
10/11/2014,113
10/12/2014,110
10/13/2014,107
10/14/2014,108
10/15/2014,109
10/16/2014,109
10/17/2014,113
10/18/2014,109
10/19/2014,111
10/20/2014,114
10/21/2014,108
10/22/2014,124
10/23/2014,117
10/24/2014,113
10/25/2014,113
10/26/2014,106
10/27/2014,115
10/28/2014,117
10/29/2014,106
10/30/2014,103
10/31/2014,105
11/1/2014,107
11/2/2014,114
11/3/2014,109
11/4/2014,108
11/5/2014,108
11/6/2014,108
11/7/2014,109
11/8/2014,110
11/9/2014,104
11/10/2014,110
11/11/2014,112
11/12/2014,111
11/13/2014,110
11/14/2014,111
11/15/2014,106
11/16/2014,103
11/17/2014,104
11/18/2014,113
11/19/2014,110
11/20/2014,100
11/21/2014,107
11/22/2014,110
11/23/2014,108
11/24/2014,106
11/25/2014,103
11/26/2014,99
11/27/2014,103
11/28/2014,108
11/29/2014,105
11/30/2014,108
12/1/2014,107
12/2/2014,108
12/3/2014,112
12/4/2014,111
12/5/2014,111
12/6/2014,109
12/7/2014,106
12/8/2014,111
12/9/2014,108
12/10/2014,118
12/11/2014,108
12/12/2014,109
12/13/2014,110
12/14/2014,100
12/15/2014,107
12/16/2014,98
12/17/2014,102
12/18/2014,102
12/19/2014,105
12/20/2014,116
12/21/2014,112
12/22/2014,103
12/23/2014,106
12/24/2014,107
12/25/2014,112
12/26/2014,117
12/27/2014,120
12/28/2014,119
12/29/2014,118
12/30/2014,117
12/31/2014,130
1/1/2015,125
1/2/2015,118
1/3/2015,117
1/4/2015,123
1/5/2015,126
1/6/2015,115
1/7/2015,121
1/8/2015,129
1/9/2015,125
1/10/2015,119
1/11/2015,118
1/12/2015,123
1/13/2015,119
1/14/2015,128
1/15/2015,132
1/16/2015,137
1/17/2015,136
1/18/2015,129
1/19/2015,129
1/20/2015,136
1/21/2015,138
1/22/2015,145
1/23/2015,130
1/24/2015,132
1/25/2015,133
1/26/2015,136
1/27/2015,130
1/28/2015,129
1/29/2015,139
1/30/2015,137
1/31/2015,135
2/1/2015,133
2/2/2015,143
2/3/2015,141
2/4/2015,160
2/5/2015,148
2/6/2015,147
2/7/2015,146
2/8/2015,147
2/9/2015,144
2/10/2015,147
2/11/2015,151
2/12/2015,146
2/13/2015,163
2/14/2015,165
2/15/2015,148
2/16/2015,155
2/17/2015,164
2/18/2015,151
2/19/2015,161
2/20/2015,161
2/21/2015,161
2/22/2015,152
2/23/2015,163
2/24/2015,154
2/25/2015,154
2/26/2015,165
2/27/2015,165
2/28/2015,169
3/1/2015,162
3/2/2015,167
3/3/2015,171
3/4/2015,170
3/5/2015,168
3/6/2015,190
3/7/2015,184
3/8/2015,169
3/9/2015,176
3/10/2015,186
3/11/2015,182
3/12/2015,193
3/13/2015,281
3/14/2015,188
3/15/2015,171
3/16/2015,172
3/17/2015,176
3/18/2015,188
3/19/2015,190
3/20/2015,191
3/21/2015,186
3/22/2015,170
3/23/2015,182
3/24/2015,177
3/25/2015,188
3/26/2015,189
3/27/2015,192
3/28/2015,182
3/29/2015,159
3/30/2015,164
3/31/2015,160
4/1/2015,163
4/2/2015,158
4/3/2015,161
4/4/2015,159
4/5/2015,162
4/6/2015,161
4/7/2015,165
4/8/2015,160
4/9/2015,163
4/10/2015,158
4/11/2015,156
4/12/2015,141
4/13/2015,146
4/14/2015,139
4/15/2015,139
4/16/2015,145
4/17/2015,144
4/18/2015,150
4/19/2015,138
4/20/2015,138
4/21/2015,141
4/22/2015,147
4/23/2015,139
4/24/2015,142
4/25/2015,137
4/26/2015,131
4/27/2015,144
4/28/2015,139
4/29/2015,132
4/30/2015,138
5/1/2015,132
5/2/2015,126
5/3/2015,125
5/4/2015,125
5/5/2015,124
5/6/2015,136
5/7/2015,133
5/8/2015,129
5/9/2015,128
5/10/2015,121
5/11/2015,124
5/12/2015,129
5/13/2015,129
5/14/2015,119
5/15/2015,118
5/16/2015,121
5/17/2015,126
5/18/2015,123
5/19/2015,118
5/20/2015,129
5/21/2015,125
5/22/2015,129
5/23/2015,138
5/24/2015,136
5/25/2015,118
5/26/2015,118
5/27/2015,122
5/28/2015,117
5/29/2015,121
5/30/2015,119
5/31/2015,120
6/1/2015,125
6/2/2015,127
6/3/2015,132
6/4/2015,125
6/5/2015,121
6/6/2015,123
6/7/2015,123
6/8/2015,120
6/9/2015,128
6/10/2015,132
6/11/2015,124
6/12/2015,130
6/13/2015,116
6/14/2015,125
6/15/2015,123
6/16/2015,123
6/17/2015,127
6/18/2015,119
6/19/2015,117
6/20/2015,117
6/21/2015,115
6/22/2015,123
6/23/2015,132
6/24/2015,131
6/25/2015,124
6/26/2015,125
6/27/2015,125
6/28/2015,114
6/29/2015,124
6/30/2015,120
7/1/2015,124
7/2/2015,132
7/3/2015,128
7/4/2015,126
7/5/2015,123
7/6/2015,123
7/7/2015,123
7/8/2015,124
7/9/2015,117
7/10/2015,123
7/11/2015,121
7/12/2015,132
7/13/2015,121
7/14/2015,126
7/15/2015,123
7/16/2015,122
7/17/2015,126
7/18/2015,122
7/19/2015,117
7/20/2015,121
7/21/2015,126
7/22/2015,117
7/23/2015,119
7/24/2015,118
7/25/2015,121
7/26/2015,118
7/27/2015,122
7/28/2015,123
7/29/2015,130
7/30/2015,125
7/31/2015,118
8/1/2015,120
8/2/2015,111
8/3/2015,119
8/4/2015,120
8/5/2015,125
8/6/2015,124
8/7/2015,119
8/8/2015,121
8/9/2015,114
8/10/2015,111
8/11/2015,120
8/12/2015,121
8/13/2015,113
8/14/2015,116
8/15/2015,116
8/16/2015,111
8/17/2015,108
8/18/2015,114
8/19/2015,114
8/20/2015,106
8/21/2015,113
8/22/2015,117
8/23/2015,109
8/24/2015,111
8/25/2015,117
8/26/2015,114
8/27/2015,117
8/28/2015,111
8/29/2015,113
8/30/2015,101
8/31/2015,110
9/1/2015,118
9/2/2015,112
9/3/2015,119
9/4/2015,119
9/5/2015,124
9/6/2015,116
9/7/2015,111
9/8/2015,112
9/9/2015,109
9/10/2015,115
9/11/2015,116
9/12/2015,123
9/13/2015,116
9/14/2015,128
9/15/2015,124
9/16/2015,127
9/17/2015,112
9/18/2015,115
9/19/2015,115
9/20/2015,117
9/21/2015,118
9/22/2015,122
9/23/2015,118
9/24/2015,112
9/25/2015,111
9/26/2015,114
9/27/2015,114
9/28/2015,120
9/29/2015,122
9/30/2015,114
10/1/2015,123
10/2/2015,125
10/3/2015,120
10/4/2015,119
10/5/2015,128
10/6/2015,122
10/7/2015,126
10/8/2015,127
10/9/2015,126
10/10/2015,124
10/11/2015,118
10/12/2015,126
10/13/2015,127
10/14/2015,120
10/15/2015,130
10/16/2015,116
10/17/2015,121
10/18/2015,116
10/19/2015,126
10/20/2015,128
10/21/2015,128
10/22/2015,125
10/23/2015,124
10/24/2015,122
10/25/2015,117
10/26/2015,118
10/27/2015,118
10/28/2015,120
10/29/2015,118
10/30/2015,120
10/31/2015,136
11/1/2015,113
11/2/2015,114
11/3/2015,140
11/4/2015,131
11/5/2015,129
11/6/2015,146
11/7/2015,140
11/8/2015,126
11/9/2015,134
11/10/2015,129
11/11/2015,134
11/12/2015,123
11/13/2015,133
11/14/2015,130
11/15/2015,127
11/16/2015,117
11/17/2015,125
11/18/2015,134
11/19/2015,130
11/20/2015,118
11/21/2015,117
11/22/2015,129
11/23/2015,105
11/24/2015,110
11/25/2015,110
11/26/2015,116
11/27/2015,118
11/28/2015,123
11/29/2015,111
11/30/2015,120
12/1/2015,124
12/2/2015,117
12/3/2015,115
12/4/2015,121
12/5/2015,123
12/6/2015,115
12/7/2015,115
12/8/2015,113
12/9/2015,123
12/10/2015,119
12/11/2015,127
12/12/2015,128
12/13/2015,119
12/14/2015,110
12/15/2015,112
12/16/2015,113
12/17/2015,112
12/18/2015,115
12/19/2015,118
12/20/2015,105
12/21/2015,111
12/22/2015,115
12/23/2015,115
12/24/2015,127
12/25/2015,124
12/26/2015,132
12/27/2015,129
12/28/2015,126
12/29/2015,141
12/30/2015,138
12/31/2015,154
1/1/2016,157
1/2/2016,138
1/3/2016,120
1/4/2016,124
1/5/2016,136
1/6/2016,136
1/7/2016,130
1/8/2016,127
1/9/2016,133
1/10/2016,130
1/11/2016,139
1/12/2016,147
1/13/2016,150
1/14/2016,148
1/15/2016,149
1/16/2016,147
